0|0.195 | 88.2913
1|0.138 | 150.1611
2|0.251 | 186.6503
3|0.294 | 126.8545
4|0.253 | 134.2524
5|0.397 | 93.2973
6|0.340 | 124.7486
7|0.352 | 55.4173
8|0.100 | 42.6318
9|0.271 | 97.2466
10|0.414 | 84.5086
11|0.369 | 107.7197
12|0.132 | 121.5859
13|0.342 | 89.3797
14|0.595 | 121.5860
15|0.062 | 60.7176
16|0.516 | 84.4768
17|0.340 | 78.3343
18|0.736 | 140.4503
19|0.619 | 72.3746
20|0.128 | 74.0751
21|0.207 | 98.3589
22|0.393 | 98.3590
23|0.728 | 98.3590
24|0.472 | 76.2445
25|0.655 | 73.2647
26|0.476 | 73.2647
27|0.182 | 73.2646
28|0.355 | 70.3960
29|0.253 | 63.2205
30|0.444 | 58.7468
31|0.562 | 73.2647
32|0.182 | 73.2647
33|0.656 | 73.2647
34|1.035 | 73.2647
35|1.291 | 73.2647
36|0.689 | 73.2647
37|1.107 | 61.4328
38|0.462 | 40.4227
39|0.194 | 73.2648
40|2.613 | 42.5284
41|3.736 | 41.1220
42|0.390 | 73.2646
43|-0.191 | 73.2646
44|0.387 | 73.2646
45|0.451 | 54.7339
46|0.379 | 73.2646
47|0.492 | 101.6884
48|0.448 | 40.2399
49|0.462 | 36.3939
50|0.574 | 40.2399
51|0.534 | 47.4313
52|0.500 | 47.4313
53|0.550 | 47.4313
54|0.757 | 47.4313
55|0.378 | 75.2989
56|0.350 | 80.0985
57|0.491 | 53.8837
58|0.264 | 39.5248
59|0.295 | 39.5248
60|0.391 | 39.5248
61|0.429 | 63.0378
62|2.761 | 24.2759
63|0.752 | 50.7688
64|0.208 | 52.0005
65|1.221 | 68.2982
66|0.235 | 68.2982
67|0.334 | 68.2982
68|0.608 | 59.0647
69|0.454 | 44.0780
70|0.392 | 38.3408
71|0.477 | 39.5248
72|1.565 | 39.5248
73|0.638 | 39.5248
74|0.504 | 39.5248
75|0.477 | 39.5248
76|0.286 | 39.5248
77|0.214 | 51.7302
78|0.680 | 40.2399
79|0.701 | 56.9192
80|0.706 | 39.8665
81|0.517 | 72.8038
82|1.308 | 28.0186
83|0.658 | 45.2541
84|0.227 | 137.4228
85|0.074 | 50.6257
86|2.425 | 45.5321
87|1.375 | 47.7889
88|1.222 | 52.9857
89|0.725 | 25.7857
90|0.631 | 68.2982
91|1.122 | 27.9153
92|1.869 | 23.1078
93|0.250 | 40.7246
94|2.646 | 28.5986
95|0.948 | 57.8329
96|0.149 | 121.2363
97|0.262 | 107.8628
98|0.259 | 56.9191
99|2.480 | 29.9495
100|2.272 | 30.9666
101|0.617 | 63.3636
102|1.381 | 32.6354
103|1.639 | 21.5901
104|1.447 | 27.8915
105|0.326 | 34.3438
106|0.501 | 68.2983
107|0.484 | 87.4410
108|0.112 | 22.6628
109|0.364 | 86.1457
110|0.279 | 47.4711
111|0.243 | 30.1323
112|0.917 | 13.3974
113|0.310 | 39.2308
114|1.446 | 32.6911
115|0.447 | 47.4235
116|0.612 | 40.6055
117|1.541 | 32.9373
118|0.653 | 39.5248
119|0.917 | 55.2584
120|0.394 | 69.8399
121|0.353 | 31.2925
122|1.315 | 22.8774
123|1.214 | 98.3590
124|0.380 | 39.5248
125|0.410 | 27.4465
126|0.526 | 27.4465
127|-0.716 | 27.4465
128|0.100 | 27.4465
129|0.205 | 27.4465
130|0.585 | 27.4465
131|0.243 | 81.9579
132|0.376 | 34.0896
133|0.866 | 54.9326
134|4.163 | 32.9453
135|1.037 | 50.7131
136|2.516 | 44.8249
137|0.560 | 96.9366
138|0.423 | 66.0733
139|0.523 | 34.9636
140|0.236 | 56.9191
141|0.425 | 39.5248
142|3.083 | 38.7143
143|0.507 | 56.9191
144|0.973 | 56.9192
145|0.607 | 56.9192
146|0.208 | 75.1879
147|0.322 | 75.1878
148|0.309 | 39.5249
149|0.287 | 55.4173
150|0.410 | 36.3621
151|0.504 | 55.4173
